นักศึกษาใหม่กรอกประวัติผิด,ประวัตินักศึกษา
ต้องลงทะเบียนวันที่ลงล่าช้าหรอครับ,ลงทะเบียนเรียน
ต้องการแก้วันเดือนปีเกิดครับ,ประวัตินักศึกษา
จดทะเบียนรายวิชาไม่ได้ มันไม่มีขึ้นให้จดทะเบียนค่ะ ต้องทำยังไงคะ,ลงทะเบียนเรียน
คือว่าจะเปิดเทอมอยู่เเล้วเเต่เอกสารยังไม่อนุมัติเลย ต้องทำไงครับ,ขอเอกสาร/ใบรับรอง
รบกวนสอบถามค่ะ ถ้าเอกสารการขึ้นทะเบียนนักศึกษายังไม่อนุมัติ จะสามารถลงทะเบียนเรียนได้ไหมคะ,ลงทะเบียนเรียน
พี่คะเคยเรียนอยู่ที่มธ ลำปาง แต่ออกมาแล้วและไม่ได้ลาออกและยังไม่ได้จ่ายค่าเทอม แบบนี้ยังสามารถกลับไปเรียนได้ไหมคะ,ชำระเงิน/ใบเสร็จรับเงิน
เพิ่มถอนวันที่6-15 คือทุกชั้นปีที่ลงทะเบียนเรียนแล้วด้วยมั้ยคะ,ลงทะเบียนเรียน
ชำระเงิน ค่า เรียน อย่างไรหรือคะ,ชำระเงิน/ใบเสร็จรับเงิน
อาจารย์คะพอจะมีไฟล์ใบขึ้นทะเบียนนักศึกษามีไหมคะ,ขอเอกสาร/ใบรับรอง
ถ้าทะเบียนยังไม่อนุมัติมีผลต่อการลงเรียนในวันที่4-5นี้มั้ยคะ,ลงทะเบียนเรียน
ต้องการลงวิชาโทเยอรมันในปี1 สำหรับคนไม่มีพื้นฐานมีตัวไหนต้องขอโควต้ามั้ยคะ,ลงทะเบียนเรียน
สอบถามอีกเรื่องครับ แล้วพวกค่าปรับห้องสมุด ต้องจ่ายภายในตอนไหนครับ แหะ ๆ,ชำระเงิน/ใบเสร็จรับเงิน
ใช่ปุ่มนี่มั้ยคะ มี่ขึ้นทะเบียนบัณฑิต,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
