อยากสอบถามอีกค่ะว่า นศ.ศูนย์ลำปาง สามารถลงเรียนซัมเมอร์ของศูนย์รังสิตได้ไหมคะ,ลงทะเบียนเรียน
เอกสารรับรองเช่นนี้อะค่ะ,ขอเอกสาร/ใบรับรอง
พอดีผมต้องใช้สมัครเนติบัณฑิตและสำนักอบรมวิชาว่าความอะครับ,ขอเอกสาร/ใบรับรอง
รายวิชาเต็มค่ะ,ลงทะเบียนเรียน
แล้วก็หนูส่งรูปใน TU Picnow ได้รับอนุมัติรูปแล้ว แบบนี้ไม่ต้องส่งรูปซ้ำใช่มั้ยคะ,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
ไม่มีผลการขอโควตา,ลงทะเบียนเรียน
ต้องประทับตราถึงจะใช้เบิกได้ใช่ไหมคะ,ขอเอกสาร/ใบรับรอง
ขอเอกสารออนไลน์ก็ขึ้นว่า not valid without seal ตรงด้านล่าง แล้วก็นำไปใช้ไม่ได้ค่ะ เขาไม่รับค่ะบอกว่า not valid,ขอเอกสาร/ใบรับรอง
"ต้องการจ่ายเงินลงทะเบียนล่าช้า 
สามารถโอนเงินจ่ายผ่านช่องทางไหนคะ",ชำระเงิน/ใบเสร็จรับเงิน
สอบถามคะ ถ้าวิชาtu104 105 ได้โควต้าเรียนตอนเทอม2 วันที่4 เราก็ไม่ต้องทำอะไรกับ2วิชานี้ใช่มั้ยคะ,ลงทะเบียนเรียน
คิดว่าขึ้นมาแบบนี้น่าจะเหมือนจดข้ามหลักสูตรมั้ยคะ แต่ลองเช็คดูแล้วตัวนี้ก็ยังเป็นหลักสูตร 56 ที่หนูเรียนอยู่ เงื่อนไขวิชาก่อนหน้าก็ผ่านทุกอย่างค่ะ,ลงทะเบียนเรียน
"เลขทะเบียน 4909615025
รัชชาภา สิริรัฐพงษ์
เบอร์ติดต่อ 061-9494493

ขอ transcript เร่งด่วนค่ะ",ขอเอกสาร/ใบรับรอง
คือผมต้องการหนังสือรับรองการลงทะเบียน ต้องติดต่ออย่างไรครับ,ขอเอกสาร/ใบรับรอง
