ชำระค่าเทอมช้าสักวัน,ชำระเงิน/ใบเสร็จรับเงิน
สอบถามมั้ยทำไมในใบชำระเงินไม่ลด50%คะต้องรอไหมคะ หรือว่าชำระเงินไปก่อเซ้ง,ชำระเงิน/ใบเสร็จรับเงิน
สวัสดีน่ะ อยากสอบถามเกี่ยวกับการอัพรูปจบในแอพtupicnow,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
จากที่ลงทะเบียนขอเอกสารออนไลน์ไป มีการเลื่อนแบบไม่มีกำหนดมัจฉาคะ,ขอเอกสาร/ใบรับรอง
อยากทราบว่าบัณฑิตศึกษาภาคเรียน 3/๒๕๑๘ ยังสามารถขอแจ้งจบล่าช้าได้อยู่ไหมคะ,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
หนูได้เอกสารเเล้วม่น่ะ ขอบคุณค่า,ขอเอกสาร/ใบรับรอง
จ่ายตังตั้งแต่วันที่30คุณป้าคะ,ชำระเงิน/ใบเสร็จรับเงิน
ไม่ใช่มั้ย คือคิดว่าออกเกรด GPAX ผิด ต้องติดต่อทางไหtar,เกรด
ตรงปริญญาที่ได้รับจำเป็นเดี๋ยวคะ ที่ต้องเปลี่ยน,สถานภาพนักศึกษา
อยากทราบว่า จะถอนวิชาdoubleday198,ลงทะเบียนเรียน
สอบถามครับ พอดีๆม่ได้การเยียวยาเทอมล่าสุด ถ้าจะทำเรื่องคืนสภาพนักศึกษา ต้องทำแบริ่งครับ พอดีช่วงนั้นกักตัวเนื่องจากหมู่คนเป็นโควิดครับ,สถานภาพนักศึกษา
รบกวนสอบถามมั้ย ถ้าลงเซคบ่ายไปแล้ว แต่จะย้ายมาเซคเช้านี่ต้องรอวันเพิ่มถอนรายวิชาเร้นลับคะ,ลงทะเบียนเรียน
การเบิกตารางเวลา ยังต้องมีการนำใบเอกสารไปเปรียบเปรยมหาลัยอยู่ไมโลคะ,ขอเอกสาร/ใบรับรอง
เริ่มส่งเอกสารบัณฑิตดาดอะครับ,แจ้งจบ/ขึ้นทะเบียนบัณฑิต
แต่ว่าลงSection อื่นไปแทนแล้วน่ะจะเป็นอะไรไหมคะ,ลงทะเบียนเรียน
ที่เอาไปเบิกตารางเวลาฝังใจ,ขอเอกสาร/ใบรับรอง
